,tweet_id,tweet_text,verified,followers_count,friends_count,user_created_at,retweet_count
71,1344343396727599104,"#NowIsNotTheTime to cross the border to visit your partner. Stay home, connect virtually, and follow @GovCanHealth guidelines to help limit the spread of #COVID19. For more information ➡️ https://t.co/XPlW5sVhTn https://t.co/fxRHAdhBt5",True,8565,8363,2020-12-30 18:03:37,33
72,1344343344848265217,"#NowIsNotTheTime to cross the border to visit your partner. Stay home, connect virtually, and follow @GovCanHealth guidelines to help limit the spread of #COVID19. For more information ➡️ https://t.co/XPlW5sVhTn https://t.co/fxRHAdhBt5",False,203,80,2020-12-30 18:03:24,33
73,1344343316566048768,"The #COVID19 outbreak at Extendicare Starwood long-term care home, which had 26 resident deaths, is over after more than three months. 

Its 187 cases linked to the outbreak are the 2nd-highest of any health-care outbreak.

BG from late November: https://t.co/hQ6Gh2LQIv #OttNews",False,1799,2567,2020-12-30 18:03:18,1
74,1344343248647704577,Our actions matter. Avoiding close contact with others in confined spaces can help #stopthespread of #COVID19. ❄️Learn more on how you can do your part this holiday season: https://t.co/o0PjjDqN5i https://t.co/IVrYiFuOM3,False,536,1889,2020-12-30 18:03:01,4
75,1344343219937619968,"#COVID19 didn’t take a holiday, and the vaccine rollout should not have been allowed to either, by ⁦@picardonhealth⁩ via @globeandmail #vaccination  https://t.co/o0B47Rjmhc",False,4568,2201,2020-12-30 18:02:54,169
76,1344343133266583552,"#COVID19 didn’t take a holiday, and the vaccine rollout should not have been allowed to either, by ⁦@picardonhealth⁩ via @globeandmail #vaccination  https://t.co/o0B47Rjmhc",True,117364,1846,2020-12-30 18:02:34,169
77,1344343071492894727,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,2774,356,2020-12-30 18:02:19,0
78,1344343050957553664,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,56,25,2020-12-30 18:02:14,0
79,1344343037829283840,"While #COVID19 is taking off in many parts of Canada, influenza is not.

""influenza activity remain exceptionally low for this time of year...no evidence of community circulation of influenza.""

Below - Flu activity maps from Week 50, 2019 vs 2020.

Link: https://t.co/rQDwakxM3m https://t.co/BxM3Kf3AuR",False,555,380,2020-12-30 18:02:11,27
80,1344343029717544966,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,1515,125,2020-12-30 18:02:09,0
81,1344343019290558464,"If you are eligible to travel to Canada and you plan on flying, remember that you must submit your #COVID19 info through the #ArriveCAN app or by signing in online before your board your flight. https://t.co/5wXlixDk3d https://t.co/zLiwj4KWiQ",False,82,210,2020-12-30 18:02:07,23
82,1344343008666394625,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,1344,503,2020-12-30 18:02:04,0
83,1344342983907430404,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,3056,942,2020-12-30 18:01:58,0
84,1344342963497951232,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,1268,786,2020-12-30 18:01:53,0
85,1344342942237024261,Our actions matter. Avoiding close contact with others in confined spaces can help #stopthespread of #COVID19. ❄️Learn more on how you can do your part this holiday season: https://t.co/o0PjjDqN5i https://t.co/IVrYiFuOM3,False,143,571,2020-12-30 18:01:48,4
86,1344342933311524865,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,3823,175,2020-12-30 18:01:46,0
87,1344342910469337089,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,2675,293,2020-12-30 18:01:41,0
88,1344342895763996672,NEW: Canadian Government announces that anyone returning to Canada will require a negative #COVID19 PCR test taken three days before arriving in back in the country. Airlines will have to ensure people provide tests. Unclear when rules come into place. #cdnpoli,False,555,380,2020-12-30 18:01:37,39
